"","Outcome","Arm","Group","Coefficient","Estimate","Std..Error","Pr...z..","EstOverSE"
"119","%CD3pTcells","B","FA - BA","(Intercept)",3.68316155905761,0.0698466911353136,0,52.7320836419042
"120","%CD3pTcells","B","FA - BA","FA0",-0.0425394863396411,0.0758302986806864,0.574809325024727,-0.560982708491899
"121","%CD3pTcells","B","FA - BA","FA1",-0.103539753568247,0.0920497382467213,0.260663627786618,-1.12482398690509
"122","%CD3pTcells","B","FA - BA","FA2",-0.175824732720069,0.0905915960393233,0.0522764293008585,-1.94085037031192
"123","%CD3pTcells","B","FA - BA","Time56",-0.0780418194885758,0.0761359346475214,0.305347778225992,-1.02503265836136
"124","%CD3pTcells","B","FA - BA","GenderM",0.105871040886813,0.0623257301137812,0.0893807954912914,1.69867309526156
"125","%CD3pTcells","B","FA - BA","FA0:Time56",0.138433496175432,0.0816864902707955,0.0901337371994126,1.69469266847574
"126","%CD3pTcells","B","FA - BA","FA1:Time56",0.0888633345387636,0.100132178500816,0.374831123749284,0.88746031364972
"127","%CD3pTcells","B","FA - BA","FA2:Time56",0.184923051199734,0.101582459069272,0.0686946030163993,1.82042306215121
"128","%CD3pTcells","B","FA - BA","Time56:GenderM",-0.0192418274640632,0.0680430786780074,0.777338662658282,-0.282788901353496
"129","%CD4+ ANYcytok+","A","MVA85A","(Intercept)",-0.728448948659907,0.178831775961759,4.63366553252205e-05,-4.07337535369374
"130","%CD4+ ANYcytok+","A","MVA85A","TreatmentMVA85A",-0.195543331822651,0.214129969214558,0.361137747202652,-0.913199271171223
"131","%CD4+ ANYcytok+","A","MVA85A","Time56",-2.64954624768663,0.2053623808474,4.39652669540432e-38,-12.9018091665749
"132","%CD4+ ANYcytok+","A","MVA85A","Time365",-0.902532623946032,0.216264426848684,3.00241815695481e-05,-4.17328285144887
"133","%CD4+ ANYcytok+","A","MVA85A","GenderM",0.0661447102578111,0.214437909283432,0.757735196698702,0.308456235554809
"134","%CD4+ ANYcytok+","A","MVA85A","TreatmentMVA85A:Time56",0.194820466395007,0.245843193007128,0.428093526563164,0.792458249553235
"135","%CD4+ ANYcytok+","A","MVA85A","TreatmentMVA85A:Time365",0.0238716531057569,0.256749910446925,0.925922400626671,0.092976286006112
"136","%CD4+ ANYcytok+","A","MVA85A","Time56:GenderM",0.400211025419071,0.246785028784101,0.10486782083315,1.621698963632
"137","%CD4+ ANYcytok+","A","MVA85A","Time365:GenderM",0.290070773792512,0.257677606602742,0.260287442909355,1.12571199964501
"138","%CD4+ ANYcytok+","A","QFT","(Intercept)",-0.868411648585813,0.180092517736059,1.42104070896435e-06,-4.82203069568133
"139","%CD4+ ANYcytok+","A","QFT","QFTPositive",0.116402493254601,0.216441465513779,0.590714260785903,0.537801261778974
"140","%CD4+ ANYcytok+","A","QFT","Time56",-2.55247250151382,0.204701823505928,1.09893582835507e-35,-12.4692220997235
"141","%CD4+ ANYcytok+","A","QFT","Time365",-0.860199898990033,0.213668414902711,5.67665836420396e-05,-4.02586362322997
"142","%CD4+ ANYcytok+","A","QFT","GenderM",0.0611770369897866,0.215127386420035,0.776122351366565,0.284375866819387
"143","%CD4+ ANYcytok+","A","QFT","QFTPositive:Time56",-0.0167247951296992,0.247875586991109,0.946205523155932,-0.0674725386744081
"144","%CD4+ ANYcytok+","A","QFT","QFTPositive:Time365",-0.0871855407565601,0.25892633303739,0.736328375575027,-0.336719482077438
"145","%CD4+ ANYcytok+","A","QFT","Time56:GenderM",0.413798828141457,0.245629972483191,0.092057458559647,1.68464305865512
"146","%CD4+ ANYcytok+","A","QFT","Time365:GenderM",0.299494705438219,0.257468858047931,0.244737449156208,1.16322691493223
"147","%CD4+ ANYcytok+","A","FA - FA","(Intercept)",-0.943136287971592,0.286759343643213,0.001005629521831,-3.28894701734653
"148","%CD4+ ANYcytok+","A","FA - FA","FA1",0.177646733023238,0.27871828798218,0.523883729643546,0.637370207421034
"149","%CD4+ ANYcytok+","A","FA - FA","FA2",-0.344720451976775,0.37440461016244,0.357198529496038,-0.920716365717865
"150","%CD4+ ANYcytok+","A","FA - FA","FA3",0.310697495670413,0.323478218218332,0.33680881411355,0.96048969659128
"151","%CD4+ ANYcytok+","A","FA - FA","Time56",-2.49846039693317,0.323057928201471,1.04395696107253e-14,-7.73378449754383
"152","%CD4+ ANYcytok+","A","FA - FA","Time365",-0.901714087659381,0.348657695557646,0.00970280436819349,-2.58624461512938
"153","%CD4+ ANYcytok+","A","FA - FA","GenderM",0.104270312691012,0.243002911873351,0.667857150707085,0.429090795197366
"154","%CD4+ ANYcytok+","A","FA - FA","FA1:Time56",0.0759275974399507,0.325848074715915,0.815749499914147,0.233015332394236
"155","%CD4+ ANYcytok+","A","FA - FA","FA2:Time56",0.137815992674934,0.430399261160672,0.748812937970295,0.320204993622156
"156","%CD4+ ANYcytok+","A","FA - FA","FA3:Time56",-0.259738745667269,0.364646028893449,0.476276682256183,-0.712303782535271
"157","%CD4+ ANYcytok+","A","FA - FA","FA1:Time365",-0.322467194185256,0.339241899315276,0.341831652883683,-0.950552378217791
"158","%CD4+ ANYcytok+","A","FA - FA","FA2:Time365",0.452143667780151,0.455350546107843,0.320730743567481,0.992957341645678
"159","%CD4+ ANYcytok+","A","FA - FA","FA3:Time365",-0.0493867885410944,0.402730804894407,0.902400274264213,-0.122629776368965
"160","%CD4+ ANYcytok+","A","FA - FA","Time56:GenderM",0.332507125732597,0.275768264372356,0.227914541710964,1.20574833543438
"161","%CD4+ ANYcytok+","A","FA - FA","Time365:GenderM",0.418669354373352,0.315577942964091,0.184616228033391,1.32667495846182
"162","%CD4+ ANYcytok+","A","FA - BA","(Intercept)",-0.632442595790791,0.20397267145571,0.00193113224770663,-3.10062417321487
"163","%CD4+ ANYcytok+","A","FA - BA","FA0",-0.31069563848042,0.323478064830484,0.336811473187478,-0.960484410722679
"164","%CD4+ ANYcytok+","A","FA - BA","FA1",-0.133048724456319,0.282497304043678,0.637659708527912,-0.470973430726079
"165","%CD4+ ANYcytok+","A","FA - BA","FA2",-0.655415809665148,0.351633523180984,0.0623333178545322,-1.86391730724664
"166","%CD4+ ANYcytok+","A","FA - BA","Time56",-2.75820172835965,0.240569506747202,1.97073929193853e-30,-11.4653006761079
"167","%CD4+ ANYcytok+","A","FA - BA","Time365",-0.951099183583658,0.243954419255057,9.67201794851041e-05,-3.89867577102291
"168","%CD4+ ANYcytok+","A","FA - BA","GenderM",0.104269996974996,0.243002800246199,0.667857952731267,0.429089693079069
"169","%CD4+ ANYcytok+","A","FA - BA","FA0:Time56",0.259742079630031,0.364645321006939,0.476270165684884,0.712314308360721
"170","%CD4+ ANYcytok+","A","FA - BA","FA1:Time56",0.335666377555269,0.327449309363052,0.305318756766482,1.02509416864614
"171","%CD4+ ANYcytok+","A","FA - BA","FA2:Time56",0.397563267169104,0.408523725917514,0.330468535095995,0.9731705699007
"172","%CD4+ ANYcytok+","A","FA - BA","FA0:Time365",0.049387437023649,0.402730367745866,0.902398893711673,0.122631519694124
"173","%CD4+ ANYcytok+","A","FA - BA","FA1:Time365",-0.273083398300998,0.375190150487403,0.466703378089473,-0.727853324364298
"174","%CD4+ ANYcytok+","A","FA - BA","FA2:Time365",0.501536243008984,0.427227889648288,0.240422496242698,1.17393141965022
"175","%CD4+ ANYcytok+","A","FA - BA","Time56:GenderM",0.332506066451158,0.275767756246025,0.227915166350494,1.20574671592322
"176","%CD4+ ANYcytok+","A","FA - BA","Time365:GenderM",0.418669277772082,0.315577573366263,0.184615794160866,1.32667626950211
"177","%CD4+ totIFNg+","A","MVA85A","(Intercept)",-1.02355026909449,0.213951134722003,1.71808539113225e-06,-4.78403758140585
"178","%CD4+ totIFNg+","A","MVA85A","TreatmentMVA85A",-0.17460757100718,0.255700414418262,0.494695346286577,-0.682859945316965
"179","%CD4+ totIFNg+","A","MVA85A","Time56",-4.02592075266946,0.27749026505446,1.0729886594014e-47,-14.5083314972485
"180","%CD4+ totIFNg+","A","MVA85A","Time365",-1.40878087136738,0.248864636841771,1.50640947476094e-08,-5.6608318853397
"181","%CD4+ totIFNg+","A","MVA85A","GenderM",-0.0645610236693928,0.255642367206341,0.800620374012821,-0.252544303884037
"182","%CD4+ totIFNg+","A","MVA85A","TreatmentMVA85A:Time56",0.182546626032335,0.342720485511145,0.594282834310473,0.532639960987679
"183","%CD4+ totIFNg+","A","MVA85A","TreatmentMVA85A:Time365",-0.103847603501007,0.301963636169899,0.730915741023874,-0.343907646689541
"184","%CD4+ totIFNg+","A","MVA85A","Time56:GenderM",0.588168283514943,0.34424712521906,0.0875317212790152,1.70856411114738
"185","%CD4+ totIFNg+","A","MVA85A","Time365:GenderM",0.237002663321123,0.302587900491547,0.43347897917226,0.783252281192068
"186","%CD4+ totIFNg+","A","QFT","(Intercept)",-1.14422827882339,0.21682279900272,1.31136390423502e-07,-5.27725075078028
"187","%CD4+ totIFNg+","A","QFT","QFTPositive",0.0848102876372234,0.259349197793845,0.743658844746533,0.327011952836802
"188","%CD4+ totIFNg+","A","QFT","Time56",-3.97219058243327,0.28363548380793,1.46179136112651e-44,-14.0045615206704
"189","%CD4+ totIFNg+","A","QFT","Time365",-1.43734084338417,0.253443633786153,1.41763809769554e-08,-5.67124461526997
"190","%CD4+ totIFNg+","A","QFT","GenderM",-0.0662067185103493,0.257745456809435,0.797280199436036,-0.25686861498901
"191","%CD4+ totIFNg+","A","QFT","QFTPositive:Time56",0.0627244446876745,0.342592837362788,0.854729412614734,0.183087437468089
"192","%CD4+ totIFNg+","A","QFT","QFTPositive:Time365",-0.037150656603834,0.304326415190657,0.902839596244266,-0.122075031116046
"193","%CD4+ totIFNg+","A","QFT","Time56:GenderM",0.608132336487845,0.338730926644835,0.0726018233828715,1.7953256955645
"194","%CD4+ totIFNg+","A","QFT","Time365:GenderM",0.230539946543476,0.302166049313482,0.445488558948026,0.762957807693023
"195","%CD4+ totIFNg+","A","FA - FA","(Intercept)",-1.18026784160613,0.335047554401898,0.000427194697708309,-3.5226875292764
"196","%CD4+ totIFNg+","A","FA - FA","FA1",0.156175107165619,0.334069105522417,0.640146901887692,0.467493415535665
"197","%CD4+ totIFNg+","A","FA - FA","FA2",-0.388640222266086,0.455539778652983,0.39358043557147,-0.853142229236891
"198","%CD4+ totIFNg+","A","FA - FA","FA3",0.184348992662811,0.377060902155559,0.624905139663871,0.488910389830757
"199","%CD4+ totIFNg+","A","FA - FA","Time56",-3.84722150050178,0.414568362882326,1.69374645921878e-20,-9.28006535219816
"200","%CD4+ totIFNg+","A","FA - FA","Time365",-1.41037796582732,0.409427569190509,0.000571575665858974,-3.44475573204761
"201","%CD4+ totIFNg+","A","FA - FA","GenderM",-0.053255402404619,0.283699003505428,0.851097738868201,-0.18771797484865
"202","%CD4+ totIFNg+","A","FA - FA","FA1:Time56",0.0868390412709278,0.439796065068798,0.84347307775651,0.197452974613002
"203","%CD4+ totIFNg+","A","FA - FA","FA2:Time56",0.523890368450815,0.575647189187209,0.36277539777858,0.910089336474531
"204","%CD4+ totIFNg+","A","FA - FA","FA3:Time56",-0.554863024818748,0.47649504313495,0.244234578512495,-1.16446756962717
"205","%CD4+ totIFNg+","A","FA - FA","FA1:Time365",-0.299437157512121,0.395684220499924,0.449194922855479,-0.756757894297124
"206","%CD4+ totIFNg+","A","FA - FA","FA2:Time365",0.426529328532164,0.532088773573203,0.422776800433656,0.801613094874822
"207","%CD4+ totIFNg+","A","FA - FA","FA3:Time365",-0.107442812294042,0.468070261217083,0.81844597318732,-0.229544197092692
"208","%CD4+ totIFNg+","A","FA - FA","Time56:GenderM",0.504317777022662,0.359424542978628,0.160579388924829,1.40312559861181
"209","%CD4+ totIFNg+","A","FA - FA","Time365:GenderM",0.287542858393893,0.365791135533346,0.431817797754863,0.786084818525297
"210","%CD4+ totIFNg+","A","FA - BA","(Intercept)",-0.995917331163439,0.248330479909072,6.06027635256858e-05,-4.01045144167603
"211","%CD4+ totIFNg+","A","FA - BA","FA0",-0.184353793002109,0.377060969794158,0.624896188253667,-0.488923033064785
